island,i,j,lat,lon,depth
NI,4,28,-42.614432999999998,173.552199999999999,125.989554999999996
NI,4,29,-42.614432999999998,173.645949999999999,485.741269999999986
NI,4,30,-42.614432999999998,173.739699999999999,1469.854499999999916
NI,4,31,-42.614432999999998,173.833449999999999,1129.567299999999932
NI,4,32,-42.614432999999998,173.927199999999999,1713.445099999999911
NI,4,33,-42.614432999999998,174.020949999999999,2015.880699999999933
NI,4,34,-42.614432999999998,174.114699999999999,2128.461699999999837
NI,4,35,-42.614432999999998,174.208470000000005,2090.067100000000210
NI,4,36,-42.614432999999998,174.302220000000005,1961.167200000000093
NI,4,37,-42.614432999999998,174.395970000000005,1908.584100000000035
NI,4,38,-42.614432999999998,174.489720000000005,1975.925799999999981
NI,4,39,-42.614432999999998,174.583470000000005,1849.964199999999892
NI,4,40,-42.614432999999998,174.677220000000005,1695.454099999999926
NI,4,41,-42.614432999999998,174.770970000000005,1752.899699999999939
NI,4,42,-42.614432999999998,174.864720000000005,1623.697300000000041
NI,4,43,-42.614432999999998,174.958470000000005,1528.548000000000002
NI,4,44,-42.614432999999998,175.052220000000005,1537.004300000000057
NI,4,45,-42.614432999999998,175.145980000000009,1576.493999999999915
NI,4,46,-42.614432999999998,175.239730000000009,1624.750399999999900
NI,4,47,-42.614432999999998,175.333480000000009,1558.319799999999987
NI,4,48,-42.614432999999998,175.427230000000009,1401.760600000000068
NI,4,49,-42.614432999999998,175.520980000000009,1352.369099999999889
NI,4,50,-42.614432999999998,175.614730000000009,1367.368799999999965
NI,4,51,-42.614432999999998,175.708480000000009,1343.341300000000047
NI,4,52,-42.614432999999998,175.802230000000009,1298.844700000000103
NI,4,53,-42.614432999999998,175.895980000000009,1239.380900000000111
NI,4,54,-42.614432999999998,175.989749999999987,1182.147699999999986
NI,4,55,-42.614432999999998,176.083499999999987,1113.323699999999917
NI,4,56,-42.614432999999998,176.177249999999987,1086.241800000000012
NI,4,57,-42.614432999999998,176.270999999999987,1096.228100000000040
NI,4,58,-42.614432999999998,176.364749999999987,1102.045800000000099
NI,4,59,-42.614432999999998,176.458499999999987,1134.900799999999890
NI,4,60,-42.614432999999998,176.552249999999987,1192.284300000000030
NI,4,61,-42.614432999999998,176.645999999999987,1214.070899999999938
NI,4,62,-42.614432999999998,176.739749999999987,1238.793699999999944
NI,4,63,-42.614432999999998,176.833499999999987,1233.524899999999889
NI,4,64,-42.614432999999998,176.927259999999990,1244.329600000000028
NI,4,65,-42.614432999999998,177.021009999999990,1256.379599999999982
NI,4,66,-42.614432999999998,177.114759999999990,1273.982400000000098
NI,4,67,-42.614432999999998,177.208509999999990,1322.416500000000042
NI,4,68,-42.614432999999998,177.302259999999990,1456.168499999999995
NI,4,69,-42.614432999999998,177.396009999999990,1684.182499999999891
NI,4,70,-42.614432999999998,177.489759999999990,1665.255200000000059
NI,4,71,-42.614432999999998,177.583509999999990,1676.606600000000071
NI,4,72,-42.614432999999998,177.677259999999990,1605.626500000000078
NI,4,73,-42.614432999999998,177.771009999999990,1411.905999999999949
NI,4,74,-42.614432999999998,177.864779999999996,1401.078899999999976
NI,4,75,-42.614432999999998,177.958529999999996,1290.202099999999973
NI,4,76,-42.614432999999998,178.052279999999996,1347.624499999999898
NI,4,77,-42.614432999999998,178.146029999999996,1598.808099999999968
NI,4,78,-42.614432999999998,178.239779999999996,1750.473400000000083
NI,4,79,-42.614432999999998,178.333529999999996,1844.466899999999896
NI,4,80,-42.614432999999998,178.427279999999996,1901.224899999999934
NI,4,81,-42.614432999999998,178.521029999999996,1930.185400000000072
NI,4,82,-42.614432999999998,178.614779999999996,2028.732400000000098
NI,4,83,-42.614432999999998,178.708529999999996,2127.378700000000208
NI,4,84,-42.614432999999998,178.802289999999999,2183.306399999999940
NI,4,85,-42.614432999999998,178.896039999999999,2148.552000000000135
NI,4,86,-42.614432999999998,178.989789999999999,2189.045200000000023
NI,4,87,-42.614432999999998,179.083539999999999,2121.214800000000196
NI,4,88,-42.614432999999998,179.177289999999999,2171.536999999999807
NI,4,89,-42.614432999999998,179.271039999999999,2106.451700000000073
NI,4,90,-42.614432999999998,179.364789999999999,1941.340500000000020
NI,5,28,-42.520682999999998,173.552199999999999,71.100830000000002
NI,5,29,-42.520682999999998,173.645949999999999,522.803160000000048
NI,5,30,-42.520682999999998,173.739699999999999,913.730469999999968
NI,5,31,-42.520682999999998,173.833449999999999,1011.702760000000012
NI,5,32,-42.520682999999998,173.927199999999999,1060.413199999999961
NI,5,33,-42.520682999999998,174.020949999999999,1531.889200000000073
NI,5,34,-42.520682999999998,174.114699999999999,2148.500199999999950
NI,5,35,-42.520682999999998,174.208470000000005,2240.936799999999948
NI,5,36,-42.520682999999998,174.302220000000005,2278.745600000000195
NI,5,37,-42.520682999999998,174.395970000000005,2348.735599999999977
NI,5,38,-42.520682999999998,174.489720000000005,2147.843299999999999
NI,5,39,-42.520682999999998,174.583470000000005,2118.346000000000004
NI,5,40,-42.520682999999998,174.677220000000005,2133.043999999999869
NI,5,41,-42.520682999999998,174.770970000000005,2019.405999999999949
NI,5,42,-42.520682999999998,174.864720000000005,2026.744999999999891
NI,5,43,-42.520682999999998,174.958470000000005,1963.162399999999934
NI,5,44,-42.520682999999998,175.052220000000005,1895.320300000000088
NI,5,45,-42.520682999999998,175.145980000000009,1907.760600000000068
NI,5,46,-42.520682999999998,175.239730000000009,1911.535499999999956
NI,5,47,-42.520682999999998,175.333480000000009,1957.183099999999968
NI,5,48,-42.520682999999998,175.427230000000009,1918.484899999999925
NI,5,49,-42.520682999999998,175.520980000000009,1698.716400000000021
NI,5,50,-42.520682999999998,175.614730000000009,1669.305000000000064
NI,5,51,-42.520682999999998,175.708480000000009,1728.083300000000008
NI,5,52,-42.520682999999998,175.802230000000009,1653.253500000000031
NI,5,53,-42.520682999999998,175.895980000000009,1623.386199999999917
NI,5,54,-42.520682999999998,175.989749999999987,1516.483199999999897
NI,5,55,-42.520682999999998,176.083499999999987,1417.151100000000042
NI,5,56,-42.520682999999998,176.177249999999987,1391.632900000000063
NI,5,57,-42.520682999999998,176.270999999999987,1423.797100000000000
NI,5,58,-42.520682999999998,176.364749999999987,1478.474899999999934
NI,5,59,-42.520682999999998,176.458499999999987,1524.362000000000080
NI,5,60,-42.520682999999998,176.552249999999987,1630.822799999999916
NI,5,61,-42.520682999999998,176.645999999999987,1682.005000000000109
NI,5,62,-42.520682999999998,176.739749999999987,1704.968000000000075
NI,5,63,-42.520682999999998,176.833499999999987,1757.836999999999989
NI,5,64,-42.520682999999998,176.927259999999990,1740.724600000000009
NI,5,65,-42.520682999999998,177.021009999999990,1808.211700000000064
NI,5,66,-42.520682999999998,177.114759999999990,1837.692900000000009
NI,5,67,-42.520682999999998,177.208509999999990,1963.790400000000091
NI,5,68,-42.520682999999998,177.302259999999990,2216.172599999999875
NI,5,69,-42.520682999999998,177.396009999999990,2364.290300000000116
NI,5,70,-42.520682999999998,177.489759999999990,2378.894800000000032
NI,5,71,-42.520682999999998,177.583509999999990,2365.602300000000014
NI,5,72,-42.520682999999998,177.677259999999990,2307.989700000000084
NI,5,73,-42.520682999999998,177.771009999999990,2217.988800000000083
NI,5,74,-42.520682999999998,177.864779999999996,2072.130900000000111
NI,5,75,-42.520682999999998,177.958529999999996,1755.515699999999924
NI,5,76,-42.520682999999998,178.052279999999996,2093.307600000000093
NI,5,77,-42.520682999999998,178.146029999999996,2260.844999999999800
NI,5,78,-42.520682999999998,178.239779999999996,2303.926300000000083
NI,5,79,-42.520682999999998,178.333529999999996,2300.790500000000065
NI,5,80,-42.520682999999998,178.427279999999996,2311.664999999999964
NI,5,81,-42.520682999999998,178.521029999999996,2321.320600000000013
NI,5,82,-42.520682999999998,178.614779999999996,2348.132000000000062
NI,5,83,-42.520682999999998,178.708529999999996,2317.424599999999828
NI,5,84,-42.520682999999998,178.802289999999999,2315.971199999999953
NI,5,85,-42.520682999999998,178.896039999999999,2307.082800000000134
NI,5,86,-42.520682999999998,178.989789999999999,2299.887700000000223
NI,5,87,-42.520682999999998,179.083539999999999,2273.779500000000098
NI,5,88,-42.520682999999998,179.177289999999999,2244.244999999999891
NI,5,89,-42.520682999999998,179.271039999999999,2255.768799999999828
NI,5,90,-42.520682999999998,179.364789999999999,2218.076700000000073
NI,6,30,-42.426932999999998,173.739699999999999,46.528530000000003
NI,6,31,-42.426932999999998,173.833449999999999,559.344299999999976
NI,6,32,-42.426932999999998,173.927199999999999,1007.497899999999959
NI,6,33,-42.426932999999998,174.020949999999999,1075.823900000000094
NI,6,34,-42.426932999999998,174.114699999999999,1520.006699999999910
NI,6,35,-42.426932999999998,174.208470000000005,1491.408300000000054
NI,6,36,-42.426932999999998,174.302220000000005,1640.090300000000070
NI,6,37,-42.426932999999998,174.395970000000005,1797.519900000000007
