island,i,j,lat,lon,depth
NI,0,0,-42.98944,170.92715,0
NI,0,1,-42.98944,171.0209,0
NI,0,2,-42.98944,171.11465,0
NI,0,3,-42.98944,171.2084,0
NI,0,4,-42.98944,171.30215,0
NI,0,5,-42.98944,171.39592,0
NI,0,6,-42.98944,171.48967,0
NI,0,7,-42.98944,171.58342,0
NI,0,8,-42.98944,171.67717,0
NI,0,9,-42.98944,171.77092,0
NI,0,10,-42.98944,171.86467,0
NI,0,11,-42.98944,171.95842,0
NI,0,12,-42.98944,172.05217,0
NI,0,13,-42.98944,172.14592,0
NI,0,14,-42.98944,172.23967,0
NI,0,15,-42.98944,172.33344,0
NI,0,16,-42.98944,172.42719,0
NI,0,17,-42.98944,172.52094,0
NI,0,18,-42.98944,172.61469,0
NI,0,19,-42.98944,172.70844,0
NI,0,20,-42.98944,172.80219,0
NI,0,21,-42.98944,172.89594,0
NI,0,22,-42.98944,172.98969,0
NI,0,23,-42.98944,173.08344,0
NI,0,24,-42.98944,173.17719,11.773745
NI,0,25,-42.98944,173.27095,35.278877
NI,0,26,-42.98944,173.3647,54.23214
NI,0,27,-42.98944,173.45845,70.29739
NI,0,28,-42.98944,173.5522,110.77513
NI,0,29,-42.98944,173.64595,455.94797
NI,0,30,-42.98944,173.7397,559.3002
NI,0,31,-42.98944,173.83345,1198.5747
NI,0,32,-42.98944,173.9272,922.62054
NI,0,33,-42.98944,174.02095,1245.2079
NI,0,34,-42.98944,174.1147,1035.6042
NI,0,35,-42.98944,174.20847,983.13416
NI,0,36,-42.98944,174.30222,947.517
NI,0,37,-42.98944,174.39597,893.00146
NI,0,38,-42.98944,174.48972,833.3515
NI,0,39,-42.98944,174.58347,774.1118
NI,0,40,-42.98944,174.67722,711.8943
NI,0,41,-42.98944,174.77097,605.8772
NI,0,42,-42.98944,174.86472,559.01843
NI,0,43,-42.98944,174.95847,533.0005
NI,0,44,-42.98944,175.05222,475.4581
NI,0,45,-42.98944,175.14598,452.2221
NI,0,46,-42.98944,175.23973,307.3334
NI,0,47,-42.98944,175.33348,346.47714
NI,0,48,-42.98944,175.42723,399.0168
NI,0,49,-42.98944,175.52098,439.84946
NI,0,50,-42.98944,175.61473,541.84515
NI,0,51,-42.98944,175.70848,530.49255
NI,0,52,-42.98944,175.80223,540.7749
NI,0,53,-42.98944,175.89598,534.82825
NI,0,54,-42.98944,175.98975,514.9431
NI,0,55,-42.98944,176.0835,509.7328
NI,0,56,-42.98944,176.17725,503.54803
NI,0,57,-42.98944,176.271,490.66373
NI,0,58,-42.98944,176.36475,471.4411
NI,0,59,-42.98944,176.4585,453.0518
NI,0,60,-42.98944,176.55225,432.59747
NI,0,61,-42.98944,176.646,413.68134
NI,0,62,-42.98944,176.73975,401.4582
NI,0,63,-42.98944,176.8335,392.8528
NI,0,64,-42.98944,176.92726,385.2035
NI,0,65,-42.98944,177.02101,375.72495
NI,0,66,-42.98944,177.11476,362.16315
NI,0,67,-42.98944,177.20851,349.11386
NI,0,68,-42.98944,177.30226,303.81622
NI,0,69,-42.98944,177.39601,299.59924
NI,0,70,-42.98944,177.48976,329.61154
NI,0,71,-42.98944,177.58351,343.2591
NI,0,72,-42.98944,177.67726,328.5766
NI,0,73,-42.98944,177.77101,323.7209
NI,0,74,-42.98944,177.86478,345.3376
NI,0,75,-42.98944,177.95853,353.94244
NI,0,76,-42.98944,178.05228,350.10162
NI,0,77,-42.98944,178.14603,354.22598
NI,0,78,-42.98944,178.23978,367.5134
NI,0,79,-42.98944,178.33353,379.58356
NI,0,80,-42.98944,178.42728,389.7467
NI,0,81,-42.98944,178.52103,422.6626
NI,0,82,-42.98944,178.61478,437.82532
NI,0,83,-42.98944,178.70853,470.73306
NI,0,84,-42.98944,178.80229,500.40823
NI,0,85,-42.98944,178.89604,529.00635
NI,0,86,-42.98944,178.98979,545.18256
NI,0,87,-42.98944,179.08354,563.1968
NI,0,88,-42.98944,179.17729,570.05426
NI,0,89,-42.98944,179.27104,576.4179
NI,0,90,-42.98944,179.36479,576.10675
NI,1,0,-42.89569,170.92715,0
NI,1,1,-42.89569,171.0209,0
NI,1,2,-42.89569,171.11465,0
NI,1,3,-42.89569,171.2084,0
NI,1,4,-42.89569,171.30215,0
NI,1,5,-42.89569,171.39592,0
NI,1,6,-42.89569,171.48967,0
NI,1,7,-42.89569,171.58342,0
NI,1,8,-42.89569,171.67717,0
NI,1,9,-42.89569,171.77092,0
NI,1,10,-42.89569,171.86467,0
NI,1,11,-42.89569,171.95842,0
NI,1,12,-42.89569,172.05217,0
NI,1,13,-42.89569,172.14592,0
NI,1,14,-42.89569,172.23967,0
NI,1,15,-42.89569,172.33344,0
NI,1,16,-42.89569,172.42719,0
NI,1,17,-42.89569,172.52094,0
NI,1,18,-42.89569,172.61469,0
NI,1,19,-42.89569,172.70844,0
NI,1,20,-42.89569,172.80219,0
NI,1,21,-42.89569,172.89594,0
NI,1,22,-42.89569,172.98969,0
NI,1,23,-42.89569,173.08344,0
NI,1,24,-42.89569,173.17719,0
NI,1,25,-42.89569,173.27095,0
NI,1,26,-42.89569,173.3647,31.012304
NI,1,27,-42.89569,173.45845,62.613686
NI,1,28,-42.89569,173.5522,106.28461
NI,1,29,-42.89569,173.64595,201.3591
NI,1,30,-42.89569,173.7397,625.1849
NI,1,31,-42.89569,173.83345,1212.1348
NI,1,32,-42.89569,173.9272,1566.1859
NI,1,33,-42.89569,174.02095,1390.66
NI,1,34,-42.89569,174.1147,1416.0872
NI,1,35,-42.89569,174.20847,1282.3661
NI,1,36,-42.89569,174.30222,1197.3584
NI,1,37,-42.89569,174.39597,1135.8176
NI,1,38,-42.89569,174.48972,1089.2452
NI,1,39,-42.89569,174.58347,1000.056
NI,1,40,-42.89569,174.67722,938.86523
NI,1,41,-42.89569,174.77097,865.87897
NI,1,42,-42.89569,174.86472,776.8886
NI,1,43,-42.89569,174.95847,747.4913
NI,1,44,-42.89569,175.05222,708.15393
NI,1,45,-42.89569,175.14598,654.2603
NI,1,46,-42.89569,175.23973,620.3054
NI,1,47,-42.89569,175.33348,597.9392
NI,1,48,-42.89569,175.42723,575.25464
NI,1,49,-42.89569,175.52098,616.21
NI,1,50,-42.89569,175.61473,642.14966
NI,1,51,-42.89569,175.70848,618.2533
NI,1,52,-42.89569,175.80223,627.5023
NI,1,53,-42.89569,175.89598,615.65674
NI,1,54,-42.89569,175.98975,602.20496
NI,1,55,-42.89569,176.0835,584.28046
NI,1,56,-42.89569,176.17725,555.5646
NI,1,57,-42.89569,176.271,543.7841
NI,1,58,-42.89569,176.36475,512.584
NI,1,59,-42.89569,176.4585,498.06592
NI,1,60,-42.89569,176.55225,457.93372
NI,1,61,-42.89569,176.646,438.7567
NI,1,62,-42.89569,176.73975,426.1504
NI,1,63,-42.89569,176.8335,410.32715
NI,1,64,-42.89569,176.92726,415.2235
NI,1,65,-42.89569,177.02101,384.75595
NI,1,66,-42.89569,177.11476,384.19037
NI,1,67,-42.89569,177.20851,399.4307
NI,1,68,-42.89569,177.30226,400.47095
NI,1,69,-42.89569,177.39601,422.51883
NI,1,70,-42.89569,177.48976,432.34082
NI,1,71,-42.89569,177.58351,434.48215
